sel	array	sample	call status	purity	ploidy	Genome doublings	delta	Coverage for 80% power	Cancer DNA fraction	Subclonal genome fraction	tau	E_CR
2	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_F02_1244886	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_F02_1244886	called	0.61	3	0	0.23	18	0.7	0.01	2.984180161	0
2	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B10_734774	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B10_734774	called	0.6	3	0	0.23	18	0.69	0	2.971112075	0
4	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F01_863612	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F01_863612	called	0.59	3	0	0.23	18	0.68	0	2.957479896	0
3	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_C07_932842	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_C07_932842	called	0.6	3	0	0.23	18	0.69	0.01	3.000972247	0
3	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_E07_809188	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_E07_809188	called	0.51	3	0	0.2	20	0.61	0	2.991286846	0
3	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_H06_863694	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_H06_863694	called	0.69	3.01	0	0.26	16	0.77	0.01	2.940663499	0
4	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_E11_1365276	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_E11_1365276	called	0.66	3	0	0.25	17	0.74	0	2.970989039	0
4	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_B06_831614	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_B06_831614	called	0.53	3	0	0.21	20	0.63	0	2.968226215	0
3	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_C01_809184	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_C01_809184	called	0.63	3.09	0	0.23	18	0.72	0	3.069442451	0
2	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_E02_1244802	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_E02_1244802	called	0.63	3	0	0.24	17	0.72	0.01	2.978726717	0
4	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_G09_863624	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_G09_863624	called	0.57	3	0	0.22	19	0.67	0	2.928483043	0
1	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_H04_831600	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_H04_831600	called	0.72	2	0	0.36	11	0.72	0	1.957162916	0
2	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_G08_863614	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_G08_863614	called	0.69	3	0	0.26	16	0.77	0	2.940663499	0
1	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_G08_863390	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_G08_863390	called	0.64	3	0	0.24	17	0.73	0	2.990047445	0
1	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_D07_1365332	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_D07_1365332	called	0.52	3	0	0.21	20	0.62	0	2.98012188	0
2	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_H03_863646	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_H03_863646	called	0.61	3	0	0.23	18	0.7	0.01	2.954487072	0
1	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_F08_1376998	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_F08_1376998	called	0.71	2	0	0.36	11	0.71	0.01	1.988756743	0
4	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_H09_831584	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_H09_831584	called	0.62	3	0	0.24	17	0.71	0	2.99669403	0
1	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_C02_730354	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_C02_730354	called	0.7	3	0	0.26	16	0.78	0	2.978853934	0
3	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_G02_1361822	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_G02_1361822	called	0.65	3	0	0.25	17	0.74	0	3.031006999	0
1	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_B02_809274	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_B02_809274	called	0.66	2	0	0.33	12	0.66	0.01	1.982749576	0
4	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_E04_809138	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_E04_809138	called	0.66	3	0	0.25	17	0.74	0.01	2.970989039	0
3	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_C07_777914	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_C07_777914	called	0.57	3	0	0.22	19	0.66	0	2.957914786	0
4	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_C05_831514	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_C05_831514	called	0.44	3	0	0.18	26	0.54	0	2.955931592	0
4	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C10_863402	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C10_863402	called	0.63	3	0	0.24	17	0.72	0	2.978726717	0
3	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_D05_809222	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_D05_809222	called	0.6	3	0	0.23	18	0.69	0	2.971112075	0
4	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_H02_1365190	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_H02_1365190	called	0.61	3	0	0.23	18	0.7	0	3.01417167	0
4	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_A07_831580	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_A07_831580	called	0.55	3	0	0.21	19	0.64	0	2.955633166	0
3	BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_A09_1320510	BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_A09_1320510	called	0.48	3	0	0.19	21	0.58	0.01	2.989998317	0
2	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_C06_1361886	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_C06_1361886	called	0.63	3	0	0.24	17	0.72	0	2.978726717	0
3	JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_G08_1148590	JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_G08_1148590	called	0.65	3	0	0.24	17	0.73	0	2.960295976	0
3	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_E01_831562	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_E01_831562	called	0.67	3	0	0.25	16	0.75	0	2.951513022	0
4	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_A03_863228	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_A03_863228	called	0.59	3	0	0.23	18	0.68	0	2.987203063	0
4	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_G02_777828	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_G02_777828	called	0.58	3	0	0.22	18	0.67	0	2.972853998	0
4	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_E01_1365224	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_E01_1365224	called	0.66	3	0	0.25	17	0.74	0	2.970989039	0
1	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_E07_1365322	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_E07_1365322	called	0.72	2	0	0.36	11	0.72	0	1.99670023	0
4	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_C07_809262	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_C07_809262	called	0.56	3	0	0.22	19	0.65	0	2.942375016	0
4	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_B12_863358	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_B12_863358	called	0.42	3	0	0.18	28	0.53	0	2.933140032	0
4	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_D01_1361962	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_D01_1361962	called	0.68	3	0	0.25	16	0.76	0	3.020925237	0
1	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A06_734700	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A06_734700	called	0.65	2	0	0.32	12	0.65	0	2.012176725	0
4	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_A07_777768	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_A07_777768	called	0.43	3	0	0.18	27	0.54	0	2.930349583	0
1	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_H09_863644	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_H09_863644	called	0.64	2	0	0.32	13	0.64	0.01	1.96150669	0
1	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_E03_863700	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_E03_863700	called	0.49	2	0	0.24	17	0.49	0	1.927128025	0
3	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_B02_831672	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_B02_831672	called	0.63	3	0	0.24	17	0.72	0.01	2.978726717	0
3	DLP_REDO_FROM_CUTCH_G04	DLP_REDO_FROM_CUTCH_G04	called	0.36	3	0	0.15	34	0.46	0	3.014612237	0
3	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_C04_730490	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_C04_730490	called	0.61	3	0	0.23	18	0.7	0.01	2.954487072	0
1	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C09_1244764	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C09_1244764	called	0.79	2	0	0.4	10	0.79	0	1.982339408	0
3	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_C01_913838	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_C01_913838	called	0.66	3	0	0.25	17	0.74	0	2.970989039	0
2	PALPS_p_TCGA_265_266_267_N_GenomeWideSNP_6_C02_1306754	PALPS_p_TCGA_265_266_267_N_GenomeWideSNP_6_C02_1306754	called	0.66	3	0	0.25	17	0.74	0.01	2.970989039	0
2	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_F09_730380	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_F09_730380	called	0.66	3	0	0.25	17	0.74	0.02	2.970989039	0
2	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_C12_1376786	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_C12_1376786	called	0.62	3	0	0.24	17	0.71	0	2.966876426	0
4	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_B12_831626	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_B12_831626	called	0.58	3	0	0.22	18	0.67	0	2.972853998	0
3	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_C09_913942	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_C09_913942	called	0.61	3	0	0.23	18	0.7	0	2.954487072	0
7	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_C01_734638	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_C01_734638	called	0.77	2.92	0	0.28	14	0.83	0	2.868159176	0
1	CLUBS_p_TCGA_186_188_SNP_N_GenomeWideSNP_6_A02_914146	CLUBS_p_TCGA_186_188_SNP_N_GenomeWideSNP_6_A02_914146	called	0.9	1.99	0	0.45	9	0.9	0.01	1.983056784	0
3	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_C06_1376754	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_C06_1376754	called	0.65	3.01	0	0.24	17	0.73	0.01	2.960295976	0
4	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_H10_831572	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_H10_831572	called	0.6	3.01	0	0.23	18	0.69	0.01	2.971112075	0
4	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_B07_809194	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_B07_809194	called	0.44	3	0	0.18	27	0.54	0	2.985639198	0
4	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_H05_831630	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_H05_831630	called	0.67	3.01	0	0.25	16	0.75	0.01	2.951513022	0
3	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_A06_863692	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_A06_863692	called	0.94	3	0	0.32	13	0.96	0	3.001697631	0
3	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_E09_1365220	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_E09_1365220	called	0.88	3	0	0.31	13	0.92	0	2.994024267	0
2	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_D12_932730	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_D12_932730	called	0.73	3	0	0.27	15	0.8	0.01	2.994737102	0
1	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_F08_1376810	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_F08_1376810	called	0.61	2	0	0.31	13	0.61	0	1.96541551	0
1	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_B03_863398	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_B03_863398	called	0.84	2.01	0	0.42	9	0.84	0.01	1.985054983	0
3	MESNE_p_TCGAb_401_02_03_04_05_N_GenomeWideSNP_6_D12_1486946	MESNE_p_TCGAb_401_02_03_04_05_N_GenomeWideSNP_6_D12_1486946	called	0.65	3	0	0.25	17	0.74	0.01	3.000847975	0
3	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_C04_809294	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_C04_809294	called	0.34	3	0	0.15	35	0.44	0	3.001221726	0
3	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_B11_730362	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_B11_730362	called	0.51	2.99	0	0.2	20	0.61	0	2.961523045	0
4	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_B02_913976	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_B02_913976	called	0.57	3	0	0.22	19	0.66	0	2.957914786	0
3	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_B02_932708	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_B02_932708	called	0.67	3	0	0.25	16	0.75	0	3.01113754	0
4	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_C02_734812	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_C02_734812	called	0.49	3	0	0.2	21	0.59	0.01	2.981323287	0
2	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_D08_809232	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_D08_809232	called	0.61	3	0	0.23	18	0.7	0.01	2.984180161	0
4	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_F01_1365230	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_F01_1365230	called	0.57	3	0	0.22	19	0.66	0.01	2.987642324	0
3	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_A07_1344462	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_A07_1344462	called	0.56	3	0	0.22	19	0.66	0	3.017668629	0
4	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_B06_1376752	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_B06_1376752	called	0.74	3	0	0.27	15	0.81	0.01	2.972130301	0
2	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_E10_1376774	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_E10_1376774	called	0.56	3	0	0.22	19	0.65	0	2.971946377	0
1	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_B02_730444	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_B02_730444	called	0.73	1.99	0	0.37	11	0.73	0	1.984345735	0
3	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_F08_831658	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_F08_831658	called	0.62	3	0	0.24	17	0.71	0	2.966876426	0
4	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_C09_863746	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_C09_863746	called	0.63	3	0	0.24	17	0.72	0	2.978726717	0
2	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_C08_1376724	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_C08_1376724	called	0.65	3	0	0.25	17	0.74	0	3.000847975	0
2	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D03_734666	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D03_734666	called	0.56	3	0	0.22	19	0.65	0.01	2.971946377	0
4	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_D02_863730	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_D02_863730	called	0.61	3	0	0.23	18	0.7	0.01	2.954487072	0
1	MESNE_p_TCGAb_401_02_03_04_05_N_GenomeWideSNP_6_E04_1486810	MESNE_p_TCGAb_401_02_03_04_05_N_GenomeWideSNP_6_E04_1486810	called	0.8	2	0	0.4	10	0.8	0.02	1.987458027	0
1	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_G04_863610	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_G04_863610	called	0.68	2	0	0.34	12	0.68	0	1.953304265	0
4	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_A07_863340	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_A07_863340	called	0.51	3	0	0.2	20	0.61	0.01	2.961523045	0
2	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_C07_1344322	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_C07_1344322	called	0.73	3.01	0	0.27	15	0.8	0.01	2.994737102	0
4	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_B11_809166	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_B11_809166	called	0.58	3	0	0.22	18	0.67	0	2.972853998	0
1	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C05_863318	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C05_863318	called	0.71	2	0	0.36	11	0.71	0	1.988756743	0
2	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_D08_1361942	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_D08_1361942	called	0.61	3	0	0.23	18	0.7	0	3.01417167	0
2	JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_D02_1148578	JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_D02_1148578	called	0.51	3	0	0.2	20	0.61	0	2.961523045	0
3	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_C12_1361814	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_C12_1361814	called	0.42	3	0	0.17	29	0.52	0	3.022467445	0
2	PALPS_p_TCGA_265_266_267_N_GenomeWideSNP_6_B07_1306768	PALPS_p_TCGA_265_266_267_N_GenomeWideSNP_6_B07_1306768	called	0.62	3	0	0.24	17	0.71	0.02	2.966876426	0
1	TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_E03_1301302	TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_E03_1301302	called	0.48	2	0	0.24	17	0.48	0	2.025933992	0
4	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C02_863218	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C02_863218	called	0.49	3	0	0.2	21	0.59	0	2.930792384	0
3	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_G02_1376992	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_G02_1376992	called	0.49	3	0	0.2	21	0.59	0.01	3.011286084	0
3	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_D09_1365298	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_D09_1365298	called	0.48	3	0	0.19	21	0.58	0	2.989998317	0
1	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_F04_863374	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_F04_863374	called	0.53	2.01	0	0.27	15	0.54	0.01	1.964272067	0
4	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_C03_809186	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_C03_809186	called	0.51	3	0	0.2	20	0.61	0	2.961523045	0
2	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_C05_730396	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_C05_730396	called	0.62	3	0	0.24	17	0.71	0	2.966876426	0
1	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_D04_932666	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_D04_932666	called	0.75	2	0	0.37	11	0.75	0.01	1.998342181	0
4	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_D10_1361896	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_D10_1361896	called	0.48	3	0	0.19	21	0.58	0.01	2.989998317	0
2	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_F02_1377018	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_F02_1377018	called	1	3	0	0.33	12	1	0.01	3.004166024	0
3	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_B05_777896	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_B05_777896	called	0.41	3	0	0.17	29	0.51	0	2.994135214	0
4	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G03_730480	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G03_730480	called	0.64	3	0	0.24	17	0.73	0	2.990047445	0
1	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_F08_1361898	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_F08_1361898	called	0.77	2	0	0.38	10	0.77	0.01	1.990996438	0
2	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_E04_1376658	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_E04_1376658	called	0.62	2.99	0	0.24	17	0.71	0.01	2.966876426	0
3	DRAWN_p_TCGASNP_214_215_N_GenomeWideSNP_6_C08_1148340	DRAWN_p_TCGASNP_214_215_N_GenomeWideSNP_6_C08_1148340	called	0.56	3	0	0.22	19	0.65	0	2.971946377	0
3	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_G07_863680	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_G07_863680	called	0.68	3	0	0.25	16	0.76	0.01	2.961106909	0
3	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_E09_809176	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_E09_809176	called	0.41	3	0	0.17	30	0.51	0	2.935426681	0
4	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_B08_730420	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_B08_730420	called	0.49	3	0	0.2	21	0.59	0.02	2.951658624	0
4	BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_C07_1320672	BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_C07_1320672	called	0.56	3	0	0.22	19	0.66	0	3.017668629	0
4	CLUBS_p_TCGA_186_188_SNP_N_GenomeWideSNP_6_A06_914014	CLUBS_p_TCGA_186_188_SNP_N_GenomeWideSNP_6_A06_914014	called	0.51	3	0	0.2	20	0.61	0.01	2.961523045	0
4	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_C10_863698	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_C10_863698	called	0.56	3.01	0	0.22	19	0.65	0	2.971946377	0
4	TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_E09_1301146	TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_E09_1301146	called	0.46	3	0	0.19	25	0.56	0.01	3.004711344	0
3	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_A01_777818	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_A01_777818	called	0.44	3	0	0.18	26	0.54	0	2.955931592	0
4	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C10_1244820	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C10_1244820	called	0.59	3	0	0.23	18	0.68	0.01	2.987203063	0
1	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_F01_1244726	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_F01_1244726	called	0.75	2	0	0.38	11	0.75	0.01	1.978458345	0
2	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_F12_809280	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_F12_809280	called	0.5	3.01	0	0.2	21	0.6	0.02	2.971819455	0
3	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_G03_809250	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_G03_809250	called	0.52	3	0	0.21	20	0.62	0	2.98012188	0
4	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_A06_777916	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_A06_777916	called	0.61	3	0	0.24	17	0.71	0	2.925089434	0
3	TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_D08_1301260	TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_D08_1301260	called	0.65	3	0	0.25	17	0.74	0	3.000847975	0
3	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_A02_831634	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_A02_831634	called	0.45	3	0	0.18	26	0.55	0	2.926519581	0
