array	sample	call status	purity	ploidy	Genome doublings	delta	Coverage for 80% power	Cancer DNA fraction	Subclonal genome fraction	tau	E_CR
UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_G04_1376888	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_G04_1376888	called	0.45	2	0	0.23	18	0.45	0.01	1.97682555641344	0
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_F02_1244886	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_F02_1244886	called	0.65	2	0	0.33	12	0.65	0.01	1.99215523214045	0
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B10_734774	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_B10_734774	called	0.46	2	0	0.23	18	0.47	0	1.96103267697766	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F01_863612	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_F01_863612	called	0.44	3	0	0.18	27	0.54	0.01	3.01564537070907	0
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_C07_932842	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_C07_932842	called	0.66	2	0	0.33	12	0.66	0.01	1.98274957580465	0
GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_E07_809188	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_E07_809188	called	0.59	2	0	0.3	14	0.59	0	1.97855594500392	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_H06_863694	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_H06_863694	called	0.54	2.01	0	0.27	15	0.54	0.01	1.98142020051439	0
CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_E11_1365276	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_E11_1365276	called	0.7	2	0	0.35	11	0.7	0.01	1.98045191004609	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_B06_831614	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_B06_831614	called	0.75	2	0	0.38	11	0.75	0	1.97845834451561	0
GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_C01_809184	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_C01_809184	called	0.48	2.09	0	0.23	18	0.49	0.09	2.02593399215835	0
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_E02_1244802	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_E02_1244802	called	0.76	2	0	0.38	10	0.76	0.02	1.98488931980157	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_G09_863624	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_G09_863624	called	0.72	2	0	0.36	11	0.72	0	1.95716291649051	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_H04_831600	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_H04_831600	called	0.72	2	0	0.36	11	0.72	0	1.95716291649051	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_G08_863614	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_G08_863614	called	0.78	2	0	0.39	10	0.78	0	1.97691715854193	0
BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_G08_863390	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_G08_863390	called	0.64	3	0	0.24	17	0.73	0	2.99004744497196	0
CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_D07_1365332	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_D07_1365332	called	0.52	3	0	0.21	20	0.62	0	2.98012188014061	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_H03_863646	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_H03_863646	called	0.76	2	0	0.38	10	0.76	0.01	1.96513934108004	0
UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_F08_1376998	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_F08_1376998	called	0.71	2	0	0.36	11	0.71	0.01	1.98875674263635	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_H09_831584	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_H09_831584	called	0.55	2	0	0.27	15	0.55	0.05	1.99803260566405	0
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_C02_730354	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_C02_730354	called	0.7	3	0	0.26	16	0.78	0	2.97885393418574	0
RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_G02_1361822	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_G02_1361822	called	0.79	2	0	0.39	10	0.79	0.06	2.00226225031811	0
GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_B02_809274	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_B02_809274	called	0.66	2	0	0.33	12	0.66	0.01	1.98274957580465	0
GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_E04_809138	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_E04_809138	called	0.65	2	0	0.33	12	0.65	0.01	1.97233295638319	0
FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_C07_777914	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_C07_777914	called	0.34	2	0	0.17	29	0.35	0	1.95656490984195	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_C05_831514	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_C05_831514	called	0.4	3	0	0.17	30	0.5	0	2.90562964510966	0
BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C10_863402	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C10_863402	called	0.6	2	0	0.3	14	0.6	0.03	1.99207015364193	0
GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_D05_809222	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_D05_809222	called	0.5	2	0	0.25	16	0.5	0.08	1.98745081374737	0
CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_H02_1365190	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_H02_1365190	called	0.79	2	0	0.4	10	0.79	0	1.98233940804968	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_A07_831580	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_A07_831580	called	0.65	3	0	0.24	17	0.73	0	2.93084053868577	0
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_A09_1320510	BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_A09_1320510	called	0.7	2	0	0.35	11	0.7	0.01	2.00035578264421	0
RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_C06_1361886	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_C06_1361886	called	0.79	2	0	0.4	10	0.79	0	1.98233940804968	0
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_G08_1148590	JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_G08_1148590	called	0.89	2	0	0.45	9	0.89	0.01	1.9807314263583	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_E01_831562	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_E01_831562	called	0.73	2	0	0.37	11	0.73	0	1.9843457347751	0
BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_A03_863228	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_A03_863228	called	1	3	0	0.33	12	1	0	2.97427407256307	0
FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_G02_777828	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_G02_777828	called	0.4	3	0	0.17	30	0.5	0	2.99472623319156	0
CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_E01_1365224	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_E01_1365224	called	0.5	2	0	0.25	16	0.5	0	2.0074250264971	0
CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_E07_1365322	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_E07_1365322	called	0.72	2	0	0.36	11	0.72	0	1.99670023005429	0
GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_C07_809262	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_C07_809262	called	0.32	3	0	0.14	39	0.41	0	2.8970971940644	0
BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_B12_863358	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_B12_863358	called	0.68	3	0	0.25	16	0.76	0.01	2.99086652855756	0
RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_D01_1361962	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_D01_1361962	called	0.51	2	0	0.26	16	0.51	0.01	1.98705858391556	0
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A06_734700	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_A06_734700	called	0.65	2	0	0.32	12	0.65	0	2.01217672508106	0
FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_A07_777768	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_A07_777768	called	0.68	2	0	0.34	12	0.68	0.01	1.96273227270221	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_H09_863644	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_H09_863644	called	0.64	2	0	0.32	13	0.64	0.01	1.96150669010752	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_E03_863700	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_E03_863700	called	0.49	2	0	0.24	17	0.49	0	1.92712802543722	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_B02_831672	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_B02_831672	called	0.57	2	0	0.28	14	0.57	0.02	1.95459205617863	0
DLP_REDO_FROM_CUTCH_G04	DLP_REDO_FROM_CUTCH_G04	called	0.58	2	0	0.29	14	0.58	0	1.96456888550037	0
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_C04_730490	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_C04_730490	called	0.61	2	0	0.31	13	0.61	0.01	1.96541550950238	0
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C09_1244764	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C09_1244764	called	0.79	2	0	0.4	10	0.79	0	1.98233940804968	0
TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_C01_913838	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_C01_913838	called	0.7	2	0	0.35	11	0.7	0.13	1.98045191004609	0
PALPS_p_TCGA_265_266_267_N_GenomeWideSNP_6_C02_1306754	PALPS_p_TCGA_265_266_267_N_GenomeWideSNP_6_C02_1306754	called	0.6	2	0	0.3	13	0.6	0	1.97224872442987	0
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_F09_730380	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_F09_730380	called	0.64	2	0	0.32	13	0.64	0.02	1.98122016007982	0
CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_C12_1376786	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_C12_1376786	called	0.43	2	0	0.22	19	0.43	0	1.96605683391113	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_B12_831626	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_B12_831626	called	0.72	2	0	0.36	11	0.72	0.03	1.99670023005429	0
TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_C09_913942	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_C09_913942	called	0.78	2	0	0.39	10	0.78	0.09	1.99678550629683	0
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_C01_734638	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_C01_734638	called	0.63	1.92	0	0.32	12	0.62	0.1	1.90020960604166	0
CLUBS_p_TCGA_186_188_SNP_N_GenomeWideSNP_6_A02_914146	CLUBS_p_TCGA_186_188_SNP_N_GenomeWideSNP_6_A02_914146	called	0.9	1.99	0	0.45	9	0.9	0.01	1.98305678363034	0
CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_C06_1376754	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_C06_1376754	called	0.53	2.01	0	0.26	16	0.53	0.01	2.00395299541145	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_H10_831572	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_H10_831572	called	0.67	2	0	0.34	12	0.67	0.03	1.99276362861725	0
GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_B07_809194	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_B07_809194	called	0.41	3	0	0.17	30	0.51	0	2.9354266806913	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_H05_831630	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_H05_831630	called	0.43	3.01	0	0.18	28	0.53	0.03	2.98954657146701	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_A06_863692	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_A06_863692	called	0.71	2	0	0.36	11	0.71	0.04	1.98875674263635	0
CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_E09_1365220	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_E09_1365220	called	0.72	2	0	0.36	11	0.72	0	1.97683273081218	0
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_D12_932730	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_D12_932730	called	1	2	0	0.5	8	1	0.01	1.99371553324308	0
CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_F08_1376810	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_F08_1376810	called	0.61	2	0	0.31	13	0.61	0	1.96541550950238	0
BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_B03_863398	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_B03_863398	called	0.84	2.01	0	0.42	9	0.84	0.01	1.98505498271287	0
MESNE_p_TCGAb_401_02_03_04_05_N_GenomeWideSNP_6_D12_1486946	MESNE_p_TCGAb_401_02_03_04_05_N_GenomeWideSNP_6_D12_1486946	called	0.49	2	0	0.25	17	0.49	0.01	1.96727652596716	0
GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_C04_809294	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_C04_809294	called	0.71	2	0	0.36	11	0.71	0.04	1.98875674263635	0
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_B11_730362	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_B11_730362	called	0.72	1.99	0	0.36	11	0.72	0.01	1.97683273081218	0
TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_B02_913976	TYPED_p_TCGA_188_192_Mirn_SNP_N_GenomeWideSNP_6_B02_913976	called	0.81	2	0	0.4	10	0.81	0.1	1.99227852003713	0
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_B02_932708	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_B02_932708	called	0.86	2	0	0.43	9	0.86	0	2.01209629265635	0
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_C02_734812	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_C02_734812	called	0.71	2	0	0.36	11	0.71	0.01	1.98875674263635	0
GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_D08_809232	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_D08_809232	called	0.62	2	0	0.31	13	0.62	0	1.99763543588767	0
CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_F01_1365230	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_F01_1365230	called	0.45	2	0	0.23	18	0.45	0	1.97682555641344	0
LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_A07_1344462	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_A07_1344462	called	0.72	2	0	0.36	11	0.72	0.01	1.99670023005429	0
CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_B06_1376752	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_B06_1376752	called	0.53	3	0	0.21	20	0.63	0.01	2.96822621503217	0
CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_E10_1376774	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_E10_1376774	called	0.66	2	0	0.33	12	0.66	0	1.98274957580465	0
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_B02_730444	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_B02_730444	called	0.73	1.99	0	0.37	11	0.73	0	1.9843457347751	0
MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_F08_831658	MIRES_p_TCGA_151_SNP_N_GenomeWideSNP_6_F08_831658	called	0.49	2	0	0.25	17	0.49	0	1.96727652596716	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_C09_863746	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_C09_863746	called	0.72	2	0	0.36	11	0.72	0	1.97683273081218	0
CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_C08_1376724	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_C08_1376724	called	0.73	2	0	0.36	11	0.73	0	2.00428874096235	0
ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D03_734666	ETUIS_p_TCGASNP_b80_83_N_GenomeWideSNP_6_D03_734666	called	0.51	2	0	0.26	16	0.51	0.01	1.96728702065546	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_D02_863730	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_D02_863730	called	0.72	2	0	0.36	11	0.72	0.01	1.95716291649051	0
MESNE_p_TCGAb_401_02_03_04_05_N_GenomeWideSNP_6_E04_1486810	MESNE_p_TCGAb_401_02_03_04_05_N_GenomeWideSNP_6_E04_1486810	called	0.8	2	0	0.4	10	0.8	0.02	1.98745802670785	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_G04_863610	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_G04_863610	called	0.68	2	0	0.34	12	0.68	0	1.95330426498459	0
BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_A07_863340	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_A07_863340	called	0.62	2	0	0.31	13	0.62	0.04	1.99763543588767	0
LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_C07_1344322	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_C07_1344322	called	0.61	2.01	0	0.3	13	0.61	0.01	1.9851682637627	0
GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_B11_809166	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_B11_809166	called	0.7	3	0	0.26	16	0.78	0	3.00879191394364	0
BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C05_863318	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C05_863318	called	0.71	2	0	0.36	11	0.71	0	1.98875674263635	0
RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_D08_1361942	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_D08_1361942	called	0.63	2	0	0.32	13	0.63	0.01	1.96986407006728	0
JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_D02_1148578	JIHAD_p_TCGASNP_215_219_N_GenomeWideSNP_6_D02_1148578	called	0.48	2	0	0.24	17	0.48	0	1.96605859395416	0
RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_C12_1361814	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_C12_1361814	called	0.4	2	0	0.2	21	0.4	0	2.02123612662555	0
PALPS_p_TCGA_265_266_267_N_GenomeWideSNP_6_B07_1306768	PALPS_p_TCGA_265_266_267_N_GenomeWideSNP_6_B07_1306768	called	0.79	2	0	0.4	10	0.79	0.02	1.98233940804968	0
TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_E03_1301302	TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_E03_1301302	called	0.48	2	0	0.24	17	0.48	0	2.02593399215835	0
BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C02_863218	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_C02_863218	called	1	3	0	0.33	12	1	0	2.97427407256307	0
UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_G02_1376992	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_G02_1376992	called	0.67	2	0	0.34	12	0.67	0.03	1.99276362861725	0
CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_D09_1365298	CONGA_p_TCGA_b_317_318_319_NSP_GenomeWideSNP_6_D09_1365298	called	0.39	2	0	0.2	21	0.39	0	1.99051114022932	0
BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_F04_863374	BISON_p_TCGA_164_173_175_SNP_N_GenomeWideSNP_6_F04_863374	called	0.53	2.01	0	0.27	15	0.54	0.01	1.96427206747141	0
GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_C03_809186	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_C03_809186	called	0.42	2	0	0.21	20	0.42	0.12	1.97881747668811	0
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_C05_730396	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_C05_730396	called	0.49	2	0	0.25	17	0.49	0.02	1.98704798375389	0
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_D04_932666	MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_D04_932666	called	0.75	2	0	0.37	11	0.75	0.01	1.99834218144706	0
RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_D10_1361896	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_D10_1361896	called	0.4	3	0	0.17	30	0.5	0.01	3.02482373220647	0
UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_F02_1377018	UNDID_p_TCGA_353_354_355_37_NSP_GenomeWideSNP_6_F02_1377018	called	0.81	2	0	0.4	10	0.81	0	2.0123012520417	0
FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_B05_777896	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_B05_777896	called	0.47	2	0	0.24	17	0.47	0.19	1.98372703398838	0
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G03_730480	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_G03_730480	called	0.65	2	0	0.33	12	0.65	0	1.97233295638319	0
RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_F08_1361898	RICES_p_TCGA_Batch_310_311_NSP_GenomeWideSNP_6_F08_1361898	called	0.77	2	0	0.38	10	0.77	0.01	1.9909964376732	0
CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_E04_1376658	CUTCH_p_TCGAb_355_37_52_NSP_GenomeWideSNP_6_E04_1376658	called	0.72	2	0	0.36	11	0.72	0.01	1.97683273081218	0
DRAWN_p_TCGASNP_214_215_N_GenomeWideSNP_6_C08_1148340	DRAWN_p_TCGASNP_214_215_N_GenomeWideSNP_6_C08_1148340	called	0.69	2	0	0.35	12	0.69	0	1.97177927146358	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_G07_863680	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_G07_863680	called	0.68	2	0	0.34	12	0.68	0.02	1.98245805998436	0
GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_E09_809176	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_E09_809176	called	0.53	2	0	0.27	15	0.53	0.01	1.98401332994826	0
BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_B08_730420	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_B08_730420	called	0.56	3	0	0.22	19	0.65	0.03	2.9719463768424	0
BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_C07_1320672	BUCKS_p_TCGA_272_273_N_GenomeWideSNP_6_C07_1320672	called	0.9	3	0	0.31	13	0.93	0	3.02656800868739	0
CLUBS_p_TCGA_186_188_SNP_N_GenomeWideSNP_6_A06_914014	CLUBS_p_TCGA_186_188_SNP_N_GenomeWideSNP_6_A06_914014	called	0.68	2	0	0.34	12	0.68	0.01	1.98245805998436	0
PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_C10_863698	PEAKY_p_TCGA_b164_SNP_N_GenomeWideSNP_6_C10_863698	called	0.72	2.01	0	0.36	11	0.72	0.01	1.97683273081218	0
TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_E09_1301146	TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_E09_1301146	called	0.48	3	0	0.19	22	0.58	0.01	3.02004829976431	0
FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_A01_777818	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_A01_777818	called	0.53	2	0	0.27	15	0.53	0	1.96427206747141	0
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C10_1244820	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_C10_1244820	called	0.38	3	0	0.16	32	0.48	0	2.96249205594411	0
EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_F01_1244726	EMMER_p_8TCGA_Mx_242_238_N_GenomeWideSNP_6_F01_1244726	called	0.75	2	0	0.38	11	0.75	0.01	1.97845834451561	0
GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_F12_809280	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_F12_809280	called	0.4	2.01	0	0.2	20	0.41	0.01	1.96149957133065	0
GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_G03_809250	GROVE_p_TCGA_b145_153_SNP_N_GenomeWideSNP_6_G03_809250	called	0.43	2	0	0.21	19	0.43	0.02	1.95912791381501	0
FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_A06_777916	FISTS_p_TCGA_b107_121_SNP_N_GenomeWideSNP_6_A06_777916	called	0.65	2	0	0.32	12	0.65	0.02	1.94198937243883	0
TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_D08_1301260	TEAKS_p_TCGA_258_259_260_254_N_GenomeWideSNP_6_D08_1301260	called	0.76	2	0	0.38	10	0.76	0.02	1.98488931980157	0
